"serum","dilution","sars2_geomean","sars2_upper_ci","sars2_lower_ci","sars1_geomean","sars1_upper_ci","sars1_lower_c1"
"King_4",1000,0.797803499316155,1.08993011631497,0.583973608943904,0.80215369710208,1.0615903171917,0.606119463746337
"King_4",2154.43469,0.810132427980091,0.96114587433476,0.682845932537737,0.84132767181085,1.10429481919721,0.640981229875949
"King_5",10,0.0395293068595146,0.107403661468835,0.014548536608755,0.107741762571554,0.217611407518914,0.0533441124910525
"King_5",21.5443469,0.07483556464791,0.161300778480276,0.0347199919860048,0.156435416895774,0.25592117694288,0.0956233475935313
"King_5",46.41588834,0.135319189777584,0.28254753768352,0.0648077957861103,0.221390416960119,0.333045185868472,0.147168368742409
"King_5",100,0.223233450436059,0.311415072969247,0.160021712881283,0.334069491494996,0.394401198098872,0.282966749811311
"King_5",215.443469,0.413340321971211,0.598434721886841,0.285495168509909,0.420993129252749,0.626283537492559,0.282995167951588
"King_5",464.1588834,0.655113708013562,0.872606935552145,0.491829657709191,0.561951413196785,0.718534673413229,0.439490817184619
"King_5",1000,0.815482753827375,0.995090191868902,0.668293313735616,0.70168905484121,0.817238032232798,0.602477503817022
"King_5",2154.43469,0.955202726858899,1.0940385074763,0.833985497917627,0.79558934837612,1.0312515831345,0.613780789868602
"King_6",10,0.0959509921467662,0.188383379954249,0.048871577185762,0.152976158820471,0.294331615253025,0.0795079561784364
"King_6",21.5443469,0.156398829852686,0.268075843909408,0.0912450507385343,0.25851648988313,0.382820318278431,0.174574787049018
"King_6",46.41588834,0.224924394313725,0.409953226842155,0.123406720193656,0.276967297541757,0.414149895660229,0.185224926316336
"King_6",100,0.325137238368327,0.545206466259131,0.193897597178419,0.307566637739715,0.405615524269931,0.233218974596151
"King_6",215.443469,0.455436292968921,0.636767007075932,0.325742720097523,0.430348689473919,0.557946396147744,0.331931518530462
"King_6",464.1588834,0.603745407052741,0.903732298115603,0.403336825846909,0.571146748477552,0.817623954348123,0.398971442264752
"King_6",1000,0.716741650080395,1.04107320685066,0.493450978835593,0.732400900802396,1.00625879303968,0.53307467542796
"King_6",2154.43469,0.854197790059401,1.12459845559531,0.648812792612381,0.882222159731988,1.26497040065696,0.615283913930285
"King_7",10,0.0762307984130278,0.144958731095501,0.0400882001571829,0.322954070027675,0.488975940359946,0.213301560953415
"King_7",21.5443469,0.150688918694071,0.348776645324338,0.0651051339635209,0.430440681560779,0.606901930491848,0.305286852840217
"King_7",46.41588834,0.19438330562446,0.289258449581886,0.130626675072445,0.419719808011011,0.614038312701847,0.286895318407173
"King_7",100,0.315984446954168,0.422425920811304,0.236363740475889,0.466224264676693,0.591843876052726,0.367267574724315
"King_7",215.443469,0.508400244070631,0.73077983971069,0.353691760672276,0.554606899687878,0.706617977818383,0.435297180141174
"King_7",464.1588834,0.716177731058778,0.916573097630307,0.559595894523383,0.730538092020488,0.906428589364097,0.588778763330204
"King_7",1000,0.860849449851878,1.04418735580628,0.709701923883247,0.819353665303603,1.02286348786021,0.656334336706911
"King_7",2154.43469,0.929280728861469,1.06873789260287,0.808021011522411,0.966192224131291,1.02616935865432,0.909720609077589
"King_9",10,0.0500050380727703,0.118024688483516,0.0211862777592372,0.151909064758126,0.276881913284537,0.0833437030318923
"King_9",21.5443469,0.07915359292468,0.135303395835219,0.0463054990912143,0.258513263977305,0.363518155724032,0.183839807173025
"King_9",46.41588834,0.118213912890703,0.190171712049481,0.0734837429306768,0.292425976139789,0.389792800380411,0.219380530984292
"King_9",100,0.179071250590107,0.262922352192297,0.121961912026604,0.332695618910185,0.476409549470337,0.232334500777933
"King_9",215.443469,0.290452984948816,0.368003025310677,0.229245225346873,0.500435748879505,0.585119850840665,0.428007934437329
"King_9",464.1588834,0.509740874388452,0.682679168413335,0.380611817445971,0.722476549127806,0.928614969621596,0.562097727384605
"King_9",1000,0.636521338994651,0.839386451917696,0.482685197110223,0.767584651896917,0.96102631892397,0.613080189611668
"King_9",2154.43469,0.724836636689644,0.801175010470634,0.655772013631486,0.891276141569448,0.988133749287554,0.803912588861243
"none",0,1,1.04128730604077,0.960349746125536,1,1.02150353004977,0.978949137798163
